query_id,review_id,relevance,category
Q001,mi-8133-200376865,3,键盘
Q001,mi-8133-159103712,2,键盘
Q002,mi-16353-227695936,3,键盘
Q002,mi-18336-222808664,2,键盘
Q002,mi-20594-236149580,2,键盘
Q003,mi-19380-236838565,3,键盘
Q003,mi-8133-200376865,2,键盘
Q004,mi-16674-245781289,3,台灯
Q004,mi-20565-239180940,2,台灯
Q004,mi-3806-159303291,2,台灯
Q005,mi-20565-246708684,3,台灯
Q005,mi-16674-236724566,2,台灯
Q005,mi-20565-238389609,2,台灯
Q006,mi-9743-201663570,3,台灯
Q006,mi-19858-246661390,2,台灯
Q006,mi-3806-157641689,2,台灯
Q007,mi-20426-246893566,3,耳机
Q007,mi-19180-231511410,3,耳机
Q007,mi-20007-246888188,2,耳机
Q008,mi-19180-226407837,3,耳机
Q008,mi-19180-228073852,3,耳机
Q008,mi-4792-224668247,2,耳机
Q009,mi-19180-226573444,3,耳机
Q009,mi-20007-246576004,3,耳机
Q009,mi-20007-246488499,2,耳机
Q009,mi-19180-230847006,2,耳机
Q010,mi-10000242-203579318,3,笔记本
Q010,mi-10000032-155717093,2,笔记本
Q010,mi-10000153-159896136,2,笔记本
Q011,mi-10000179-201976752,3,笔记本
Q011,mi-10000113-200543353,3,笔记本
Q011,mi-10000179-200855983,2,笔记本
Q011,mi-19715-243545071,2,笔记本
Q012,mi-19715-238186920,3,笔记本
Q012,mi-19715-230392426,3,笔记本
Q012,mi-10000226-202721155,2,笔记本
Q012,mi-10000032-155717093,2,笔记本
Q013,mi-11174-226240826,3,充电宝
Q013,mi-11174-226613677,3,充电宝
Q013,mi-4580-153675666,2,充电宝
Q013,mi-11174-235850145,2,充电宝
Q014,mi-4580-155160905,3,充电宝
Q014,mi-11174-233125082,3,充电宝
Q014,mi-11174-227365590,2,充电宝
Q014,mi-7607-156936330,2,充电宝
Q015,mi-11174-223906013,3,充电宝
Q015,mi-11174-226717626,3,充电宝
Q015,mi-7607-155274025,2,充电宝
